Job Title,Rating,Size,Founded,Type of ownership,Industry,Sector,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,Min_Salary,Max_Salary,Min_Revenue,Max_Revenue
Senior Data Analyst,4.3,201 - 500 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,39,71,55.0,AZ,11,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,analyst,sr,na,39,71,25000000,50000000
Data Scientist,4.5,201 - 500 ,2006,Company - Private,Computer Hardware & Software,Information Technology,0,0,121,193,157.0,CA,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,121,193,100000000,500000000
Data Engineer,4.0,5001 - 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,0,0,76,140,108.0,CA,39,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data engineer,na,M,76,140,2000000000,5000000000
Data Engineer,4.7,51 - 200 ,1996,Company - Private,Consulting,Business Services,0,0,65,125,95.0,MN,25,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,data engineer,na,na,65,125,25000000,50000000
Senior Data Engineer,3.2,1001 - 5000 ,2000,Company - Private,Advertising & Marketing,Business Services,0,0,95,173,134.0,NC,21,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,sr,na,95,173,1000000000,2000000000
Data Engineer,4.3,1001 - 5000 ,1993,Company - Public,Real Estate,Real Estate,0,0,80,105,92.5,IL,28,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,data engineer,na,na,80,105,2000000000,5000000000
Data Analyst,2.3,501 - 1000 ,1986,Company - Private,Research & Development,Business Services,0,0,43,81,62.0,MD,35,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na,43,81,100000000,500000000
Project Scientist,4.0,51 - 200 ,2000,Other Organization,Architectural & Engineering Services,Business Services,0,0,29,50,39.5,AL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,na,29,50,25000000,50000000
Data Scientist,3.6,1001 - 5000 ,1966,Company - Private,Industrial Manufacturing,Manufacturing,0,0,82,133,107.5,CA,55,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,data scientist,na,M,82,133,100000000,500000000
Data Scientist,4.4,201 - 500 ,2008,Company - Private,Consulting,Business Services,0,0,60,102,81.0,IL,13,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na,60,102,50000000,100000000
Senior Data Scientist,4.0,501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,112,182,147.0,VA,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,data scientist,sr,na,112,182,100000000,500000000
